music_id,track_category,content_category,track_name,artist,link,is_music,content_republican,content_democratic,is_content_republican,is_content_democratic,is_track_republican,is_track_democratic
7291803363170437120,Democratic,Democratic,We Won't Go Back,"MILCK, BIIANCO, Autumn Rowe",https://www.tiktok.com/music/We-Won't-Go-Back-7291803363170437121,True,False,True,0,1,0,1
7365349431086401536,Neutral,Democratic,Not Like Us,Kendrick Lamar,https://www.tiktok.com/music/Not-Like-Us-7365349431086401552,True,False,True,0,1,0,0
6715196271927232512,Neutral,"Republican, Democratic",Thunderstruck,AC/DC,https://www.tiktok.com/music/Thunderstruck-6715196271927232514,True,True,True,1,1,0,0
6848387203412805632,Neutral,Republican,Red Kingdom,Tech N9ne,https://www.tiktok.com/music/Red-Kingdom-6848387203412805633,True,True,False,1,0,0,0
6873501791145691136,Neutral,Republican,Epic Music(863502),Draganov89,https://www.tiktok.com/music/Epic-Music-863502-6873501791145691137,True,True,False,1,0,0,0
6716027434308749312,Neutral,"Republican, Democratic","Frolic (Theme from ""Curb Your Enthusiasm"" TV Show)",Luciano Michelini,https://www.tiktok.com/music/Frolic-Theme-from-Curb-Your-Enthusiasm-TV-Show-6716027434308749314,True,True,True,1,1,0,0
7086103923752175616,Neutral,"Republican, Democratic",The Champion,Lux-Inspira,https://www.tiktok.com/music/The-Champion-7086103923752175617,True,True,True,1,1,0,0
7395310754142849024,Democratic,Democratic,Vote for Kamala Harris!,UA Story Band,https://www.tiktok.com/music/Vote-for-Kamala-Harris-7395310754142849040,True,False,True,0,1,0,1
7429889112264100864,Republican,Republican,original sound,Laura Gail :um:BFE,https://www.tiktok.com/music/original-sound-7429889112264100638,True,True,False,1,0,1,0
7404149369904580608,Democratic,Democratic,Taking Back Our Flag,MrCheetos Music,https://www.tiktok.com/music/Taking-Back-Our-Flag-7404149369904580625,True,False,True,0,1,0,1
7395616180436568064,Republican,Republican,Trump The 47th President of the United States of America,"Tucker Grace, Viral Sound Empire",https://www.tiktok.com/music/Trump-The-47th-President-of-the-United-States-of-America-7395616180436568080,True,True,False,1,0,1,0
7414261025450593280,Neutral,Republican,original sound,I Green Screen Things,https://www.tiktok.com/music/original-sound-7414261025450593067,True,True,False,1,0,0,0
7221312697249531904,Neutral,Republican,Stargazing (Slowed + Reverb),Marcelo De Carvalho,https://www.tiktok.com/music/Stargazing-Slowed-Reverb-7221312697249531906,True,True,False,1,0,0,0
7146319288964483072,Neutral,"Republican, Democratic",Suspenseful and tense orchestra(1318015),SoLaTiDo,https://www.tiktok.com/music/Suspenseful-and-tense-orchestra-1318015-7146319288964483074,True,True,True,1,1,0,0
7386800052000589824,Neutral,Democratic,Big Dawgs,"Hanumankind, Kalmi",https://www.tiktok.com/music/Big-Dawgs-7386800052000589825,True,False,True,0,1,0,0
7293145962955360256,Neutral,"Republican, Democratic",Trendsetter,"Connor Price, Haviah Mighty",https://www.tiktok.com/music/Trendsetter-7293145962955360257,True,True,True,1,1,0,0
6822788852839614464,Democratic,Democratic,Republicans are Dumb,Danny Politix,https://www.tiktok.com/music/Republicans-are-Dumb-6822788852839614465,True,False,True,0,1,0,1
6787939719033391104,Neutral,"Republican, Democratic",If I Only Had A Brain (Wizard of Oz),Knightsbridge,https://www.tiktok.com/music/If-I-Only-Had-A-Brain-Wizard-of-Oz-6787939719033391105,True,True,True,1,1,0,0
6696411182946846720,Neutral,Democratic,Freedom (feat. Kendrick Lamar),Beyonce,https://www.tiktok.com/music/Freedom-feat-Kendrick-Lamar-6696411182946846721,True,False,True,0,1,0,0
7018691865243388928,Neutral,Democratic,The Time is Coming,Aery Yormany,https://www.tiktok.com/music/The-Time-is-Coming-7018691865243388678,True,False,True,0,1,0,0
7414151707942489088,Neutral,Republican,DJ Fat Dog _ I Never Lie x Hollaback Girl,Randy Rogers,https://www.tiktok.com/music/DJ-Fat-Dog-I-Never-Lie-x-Hollaback-Girl-7414151707942488874,True,True,False,1,0,0,0
7043672073613936640,Neutral,Republican,snowfall,"Oneheart, Jeremy :fr:",https://www.tiktok.com/music/snowfall-7043672073613936641,True,True,False,1,0,0,0
6800736265000978432,Democratic,"Republican, Democratic",For What It's Worth,Billy Porter,https://www.tiktok.com/music/For-What-It's-Worth-6800736265000978434,True,True,True,1,1,0,1
6618871733141113856,Neutral,Democratic,Sunrise,Official Sound Studio,https://www.tiktok.com/music/Sunrise-6618871733141113604,True,False,True,0,1,0,0
7231997808928032768,Neutral,Republican,Boundless Worship,Josue Novais Piano Worship,https://www.tiktok.com/music/Boundless-Worship-7231997808928032770,True,True,False,1,0,0,0
7417111318576057344,Neutral,"Republican, Democratic",original sound,BLAZE,https://www.tiktok.com/music/original-sound-7417111318576057131,True,True,True,1,1,0,0
6746993352891189248,Neutral,Democratic,Monkeys Spinning Monkeys,"The Other Studio, Kevin MacLeod",https://www.tiktok.com/music/Monkeys-Spinning-Monkeys-6746993352891189249,True,False,True,0,1,0,0
7109523505888103424,Neutral,Democratic,som original,user56181044691,https://www.tiktok.com/music/som-original-7109523505888103173,True,False,True,0,1,0,0
7238683925508361216,Neutral,Republican,som original,i love Jesus,https://www.tiktok.com/music/som-original-7238683925508360966,True,True,False,1,0,0,0
6717499891850938368,Democratic,"Republican, Democratic",This Is America,Donald Glover,https://www.tiktok.com/music/This-Is-America-6717499891850938369,True,True,True,1,1,0,1
